iter	MAE	RMSE
0	32.90652361	43.28763639
1	31.71334058	41.84177094
2	30.58781788	40.48304913
3	29.53350198	39.21684444
4	28.54955288	38.03509459
5	27.62432439	36.92185967
6	26.76192777	35.88498669
7	25.9649298	34.92700789
8	25.2253431	34.03140377
9	24.52783418	33.19510133
10	23.87496763	32.41597782
11	23.27276591	31.69402127
12	22.71115491	31.0203432
13	22.17956394	30.39653313
14	21.68596198	29.81624898
15	21.23272237	29.2839187
16	20.78969169	28.76026703
17	20.39530345	28.30159688
18	20.02468134	27.86458979
19	19.68761436	27.46762642
20	19.36394153	27.09572272
21	19.06775584	26.7572471
22	18.77905745	26.44033264
23	18.51523322	26.14439783
24	18.27553242	25.878676
25	18.04641352	25.62907339
26	17.83354797	25.40045875
27	17.63452634	25.16895218
28	17.45544259	24.97459221
29	17.26990048	24.76785911
30	17.09872739	24.577422
31	16.9483521	24.40690622
32	16.80250189	24.2533307
33	16.66982573	24.09430774
34	16.54906846	23.966575
35	16.42928503	23.83756826
36	16.32524394	23.71980394
37	16.23016287	23.62388071
38	16.14243323	23.53269702
39	16.05837427	23.4492592
40	15.98116207	23.37344841
41	15.90779987	23.29937301
42	15.83797491	23.21743813
43	15.77721799	23.15263846
44	15.71020999	23.0773729
45	15.65938875	23.01929175
46	15.61107061	22.96829257
47	15.55582222	22.90725883
48	15.50379198	22.85226259
49	15.45379174	22.79894262
50	15.41877579	22.75892194
51	15.37652833	22.71289048
52	15.34035339	22.67957988
53	15.30180637	22.62793599
54	15.26591319	22.59165301
55	15.23531747	22.56097947
56	15.20532734	22.52457701
57	15.17975659	22.5010279
58	15.15008916	22.47000691
59	15.13189831	22.4490826
60	15.1131478	22.43102889
61	15.09291431	22.40444705
62	15.07455501	22.38693621
63	15.05171749	22.3615325
64	15.03274586	22.34025372
65	15.01542305	22.32183801
66	14.99641869	22.29319133
67	14.97578662	22.2694545
68	14.95762333	22.24669739
69	14.9402903	22.22697348
70	14.92827151	22.20960266
71	14.91415834	22.19333123
72	14.90477226	22.17786623
73	14.89044126	22.16049304
74	14.88048738	22.14931045
75	14.86756702	22.13546334
